1   http://www.digikey.co.uk/product-detail/en/te-connectivity-amp-connectors/2129691-1/A122008CT-ND/5401337
2   http://www.digikey.co.uk/product-detail/en/yageo/RC0402FR-0710KL/311-10.0KLRCT-ND/729470
1   http://www.digikey.co.uk/product-detail/en/wurth-electronics-inc/434333045822/732-7056-1-ND/5225504
2   http://www.digikey.co.uk/product-detail/en/yageo/RC0402JR-072K2L/311-2.2KJRTR-ND/726436
2   http://www.digikey.co.uk/product-detail/en/yageo/RC0402JR-075K1L/311-5.1KJRTR-ND/726487

8;"C41";"R_0402";1;"???";;;

2   http://www.digikey.co.uk/product-detail/en/yageo/RC0402JR-0791KL/YAG3320TR-ND/5281180

http://www.digikey.co.uk/product-detail/en/fairchild-on-semiconductor/BAT54XV2/BAT54XV2CT-ND/2241879

10;"D1";"SOD-523";1;"D";;;
11;"J4";"R_0402";1;"0";;;
12;"P8,P9";"FFC4-0.5";2;"CONN_01X04";;;
13;"C26,C43,C44,C45,C39,C38,C35,C33,C32,C24";"C_0402";10;"u1";;;
14;"C34,C47,C48,C42,C30,C16,C13,C11,C4";"C_0402";9;"1u";;;
15;"IC8";"SOT-363";1;"BSD840NH6327XTSA1";;;
16;"IC3";"WSON6";1;"BQ297xx";;;
17;"J1";"503763-0291";1;"Screw_Terminal_1x02";;;
18;"IC5";"TPS6223xx";1;"TPS6223xx";;;
19;"L8";"SRP2010";1;"1u";;;
20;"J2,J3,J5,J6";"M1.4MOUNTHOLE";4;"Screw_Terminal_1x01";;;
21;"R15,R13";"R_0402";2;"1k";;;
22;"IC2";"QFN24";1;"EFM32ZG108";;;
23;"C40,C49,C46,C37";"C_0402";4;"4u7";;;
24;"IC10";"ER-OLED096-1";1;"128x64OLED";;;
25;"R14";"R_0402";1;"90k";;;
26;"P2,P5,P1,P3,P4,P6,P7";"Pin_Header_Straight_1x01";7;"CONN_01X01";;;
27;"IC9";"DFN10";1;"MMA8653FC";;;
28;"U2";"SWD_SPRING";1;"SWD_SPRING";;;
29;"C36";"C_0402";1;"2u2";;;
30;"SW1";"KXT131LHS";1;"SW_Push";;;
31;"IC6,IC7";"APDS-9303";2;"APDS-9303";;;
32;"R5";"R_0402";1;"330";;;
33;"R6";"R_0402";1;"2M7%";;;
34;"R7";"R_0402";1;"1M6%";;;
35;"TH1";"R_0603";1;"10k";;;
36;"IC4";"AAT3672IWO";1;"AAT3672IWO-4.2-1";;;
37;"C27,C29";"C_0402";2;"10n";;;
38;"C31,C28,C25";"C_0402";3;"10u";;;
39;"R2,R3";"R_0402";2;"4k7";;;
40;"IC1";"QFN32";1;"BlueNRG";;;
41;"C19,C20";"C_0402";2;"1p3";;;
42;"C18,C23,C21";"C_0402";3;"p5";;;
43;"C22,C17";"C_0402";2;"56p";;;
44;"L4,L6";"R_0603";2;"1n3";;;
45;"L5";"R_0603";1;"2n4";;;
46;"L7";"R_0603";1;"5n6";;;
47;"C15,C14,C12,C6,C5";"C_0402";5;"100n";;;
48;"Y2";"CRYSTAL5x3.2";1;"16M";;;
49;"C10,C8";"C_0402";2;"15p";;;
50;"C9,C7";"C_0402";2;"22p";;;
51;"C3";"C_0402";1;"150n";;;
